"scenario","time","true_state","observed_state","prediction_before_update","twin_state","residual","anomaly_flag","intervention_flag"
"baseline_twin",36,15.893709890651,14.0160958012289,11.5500572178753,12.413170722049,2.4660385833536,0,0
"baseline_twin",37,15.0536465195099,16.1759792111091,10.8012461413045,12.3324027157361,4.37473306980464,1,1
"baseline_twin",38,13.7250894710018,12.7479976047688,11.71202187208,12.0746133785211,1.03597573268879,0,0
"baseline_twin",39,13.3712036258812,14.7539253539834,11.4546534394155,12.6093986095143,3.2992719145679,0,0
"baseline_twin",40,12.9523188032799,11.3579214679425,11.9503434846072,11.7429957787746,-0.592422016664797,0,0
"baseline_twin",41,11.6040915986878,14.3269642163367,11.1151032645965,12.2392545977055,3.2118609517402,0,0
"baseline_twin",42,11.1260223971192,11.2852148096064,11.5746743836668,11.4733635327457,-0.28945957406038,0,0
"baseline_twin",43,10.4330562994588,8.28326428816989,10.8355683008275,9.94226189639732,-2.55230401265758,0,0
"baseline_twin",44,10.2034100660219,9.81255834367814,9.3699572442892,9.52486762907533,0.442601099388941,0,0
"baseline_twin",45,9.49785134111028,11.1778747325384,8.96289004981021,9.73813468876507,2.21498468272816,0,0
"baseline_twin",46,9.42034083393219,11.9261503106139,9.15554614789928,10.1252576048494,2.77060416271459,0,0
"baseline_twin",47,8.55865409591343,9.72928150522077,9.51402938211757,9.58936762520369,0.2152521231032,0,0
"baseline_twin",48,8.85186729065557,6.85244730764935,8.99637886964732,8.24600282294803,-2.14393156199797,0,0
"baseline_twin",49,7.77151084771833,5.73438122218154,7.71241515552287,7.02010327885341,-1.97803393334133,0,0
"baseline_twin",50,6.37919401454515,6.52316261037924,6.54088522382491,6.53468230911893,-0.0177226134456738,0,0
"baseline_twin",51,6.31790851387312,8.47964618995041,6.07369978992869,6.91578102993629,2.40594640002171,0,0
"baseline_twin",52,6.48951156528948,4.68373600097775,6.43063980324886,5.81922347245398,-1.74690380227111,0,0
"baseline_twin",53,7.13063634492502,5.93044420916095,5.38477351572764,5.5757582584293,0.545670693433307,0,0
"baseline_twin",54,6.69078329750264,5.9307227101387,5.15034082785807,5.42347448665629,0.780381882280635,0,0
"baseline_twin",55,6.13408144866311,6.47282891076581,5.00354818153206,5.51779643676387,1.46928072923375,0,0
"baseline_twin",56,5.74903071346347,5.70386412190215,5.09206337736099,5.30619363795039,0.611800744541157,0,0
"baseline_twin",57,5.37652889620921,4.50274547168521,4.89099003770657,4.75510443959909,-0.388244566021359,0,0
"baseline_twin",58,4.65626790159598,1.66628955774932,4.36844494622911,3.42269056026119,-2.70215538847979,0,0
"baseline_twin",59,4.047173105124,3.12440264094396,3.10467486698023,3.11157958786753,0.0197277739637256,0,0
"baseline_twin",60,5.3221104088752,2.87030119273371,2.81216196727469,2.83251069618535,0.0581392254590236,0,0
"baseline_twin",61,4.99856080396689,2.31003568279757,2.55108734577636,2.46671926373378,-0.241051662978793,0,0
"baseline_twin",62,3.73158458538436,3.95604888053897,2.20859656702498,2.82020487675488,1.74745231351399,0,0
"baseline_twin",63,2.81818170117073,2.81490099542225,2.55035445890315,2.64294574668483,0.264546536519108,0,0
"baseline_twin",64,2.29831787852157,1.19370898691248,2.38879905061546,1.97051752831941,-1.19509006370298,0,0
"baseline_twin",65,0.854283361829171,-1.3502629488188,1.75767973638859,0.669899796566002,-3.10794268520739,0,0
"baseline_twin",66,0.813448009572917,1.83516507953528,0.530573757902143,0.987180720473741,1.30459132163314,0,0
"baseline_twin",67,0.380433527432246,0.380546718749878,0.841206014920114,0.679975261260532,-0.460659296170236,0,0
"baseline_twin",68,0.948415900826967,3.54015623818411,0.559246761935859,1.60256507862275,2.98090947624825,0,0
"baseline_twin",69,0.166484983117237,-0.044690225333081,1.44619496306672,0.92438514712679,-1.4908851883998,0,0
"baseline_twin",70,0.813834938569434,-0.0316783064499071,0.812941053826689,0.51732427772988,-0.844619360276596,0,0
"baseline_twin",71,0.687906378601222,0.532913241774461,0.437702941767044,0.47102654676964,0.0952103000074175,0,0
"baseline_twin",72,0.0789913241974635,-0.721439884595065,0.405562894701319,0.0111119219475844,-1.12700277929638,0,0
"baseline_twin",73,0.0275961925646881,-0.717367735739574,-0.0192223121197541,-0.263573210386691,-0.69814542361982,0,0
"baseline_twin",74,0.676809722198341,-0.188977392778826,-0.267832824626391,-0.240233423479743,0.0788554318475647,0,0
"baseline_twin",75,0.378090934045853,1.63244357183964,-0.23319863478789,0.419776137531745,1.86564220662753,0,0
"baseline_twin",76,-0.267115609076658,-0.340372864348845,0.406306382137484,0.144968645867268,-0.746679246486329,0,0
"baseline_twin",77,-1.1647239220095,0.936181266614727,0.157683013595784,0.430157402152414,0.778498253018943,0,0
"baseline_twin",78,-1.2384071485203,-2.08052873293036,0.440917530257966,-0.441588661857947,-2.52144626318832,0,0
"baseline_twin",79,-1.87508894515464,-1.88906060595383,-0.375159986033676,-0.905025203005729,-1.51390061992015,0,0
"baseline_twin",80,1.79461887991778,0.834332686006993,-0.80365125826976,-0.230356877772896,1.63798394427675,0,0
"baseline_twin",81,2.54499969433974,2.22905312790391,-0.151332422817159,0.681802519935214,2.38038555072107,0,0
"baseline_twin",82,1.8531022920018,2.14687468044308,0.726134406807905,1.22339350258022,1.42074027363518,0,0
"baseline_twin",83,1.63159726047269,2.6936216468499,1.25101695989896,1.75592860033179,1.44260468695094,0,0
"baseline_twin",84,2.50801854389547,0.72117202389838,1.76668016012302,1.40075231244439,-1.04550813622464,0,0
"baseline_twin",85,2.76302667732702,2.91584318294829,1.43833357890033,1.95546194031712,1.47750960404797,0,0
"baseline_twin",86,3.27815754621617,2.86455689611289,1.97363169669803,2.28545551649323,0.890925199414853,0,0
"baseline_twin",87,3.73968324183345,0.598582691427403,2.2946448725203,1.70102310913778,-1.69606218109289,0,0
"baseline_twin",88,4.69649896297262,6.25309932430606,0.746096484123715,2.32354747818754,4.50700284018235,1,1
"baseline_twin",89,4.50709223077421,1.89887939652371,2.34325391355982,2.18772283259718,-0.444374517036119,0,0
"baseline_twin",90,4.8082428357769,5.67799179064348,2.21903668748353,3.42967097358951,3.45895510315994,0,0
"baseline_twin",91,4.70855698388769,4.98117759104006,3.40272709066251,3.95518476579465,1.57845050037754,0,0
"baseline_twin",92,4.27003992053138,4.93389203926582,3.90480169555288,4.26498331585241,1.02909034371294,0,0
"baseline_twin",93,4.3825203452032,3.87985347318656,4.20092396692646,4.0885492941175,-0.321070493739899,0,0
"baseline_twin",94,3.51162035971928,4.77296823291134,4.03408985412375,4.29269728669941,0.738878378787585,0,0
"baseline_twin",95,3.81826270558763,2.31291083854508,4.22776781285434,3.5575678718461,-1.91485697430925,0,0
"baseline_twin",96,2.81900041009801,3.18792585515575,3.5280932152473,3.40903463921526,-0.340167360091548,0,0
"baseline_twin",97,2.61706970106289,3.07177076711891,3.38465500550801,3.27514552207183,-0.3128842383891,0,0
"baseline_twin",98,1.85254139355647,0.126034593671812,3.25411490280568,2.15928679460883,-3.12808030913387,0,0
"baseline_twin",99,2.54976986762248,3.27656469611077,2.18971308641429,2.57011114980806,1.08685160969648,0,0
"baseline_twin",100,2.90726801248714,6.17467921556426,1.57469970853186,2.8346925359932,3.5999795070324,1,1
"baseline_twin",101,2.96607133997239,-0.635601287944326,2.81983178014172,1.6104302063116,-3.45543306808604,0,0
"baseline_twin",102,3.13780715832744,5.24619238757327,0.649681762889545,1.90846048152885,3.59651062468372,1,1
"baseline_twin",103,4.32848133245022,1.85013045561728,1.92487844411198,1.89871664813883,-0.0747479884946944,0,0
"baseline_twin",104,3.5246766087184,2.25419809815019,1.90691349799885,2.02846310805182,0.347284600151336,0,0
"baseline_twin",105,6.8097179020993,5.64737920044281,1.02074854571236,2.29006927486802,3.62663065473046,1,1
"baseline_twin",106,6.44163935263589,4.27943966130392,2.25919993737207,2.96628384074822,2.02023972393184,0,0
"baseline_twin",107,7.41471988811139,7.60871442890538,1.89094885162822,3.54216680367522,4.71776557727716,1,1
"baseline_twin",108,7.05533680618874,7.94745216107701,2.42687623627773,4.00907780995747,4.52057592479928,1,1
"baseline_twin",109,6.77524637849067,6.53748791197003,3.85885122040019,4.79637406244963,2.67863669156984,0,0
"baseline_twin",110,7.36084474389687,6.97019036573109,4.59484358952663,5.42621496119819,2.37534677620446,0,0
"baseline_twin",111,6.24872460705376,6.94292680985188,5.18098763594535,5.79766634681263,1.76193917390654,0,0
"baseline_twin",112,5.73907823791683,4.79984526987554,5.52148061480521,5.26890824407983,-0.721635344929671,0,0
"baseline_twin",113,4.81246228638246,5.5835209122625,5.00667951264961,5.20857400251412,0.576841399612892,0,0
"baseline_twin",114,4.45615556333787,5.38435747490432,4.93687263431915,5.09349232852396,0.447484840585172,0,0
"baseline_twin",115,4.06904483900041,2.88373867252122,4.81513393231075,4.13914559138442,-1.93139525978953,0,0
"baseline_twin",116,4.57980404352807,4.09062935632756,3.89625779584565,3.96428784201432,0.194371560481911,0,0
"baseline_twin",117,4.87165715983345,2.70880878563736,3.71814557087026,3.36487769603874,-1.0093367852329,0,0
"baseline_twin",118,4.28881204182588,3.80397953055015,3.13704120904621,3.37046962157259,0.666938321503942,0,0
"baseline_twin",119,3.76894846759956,6.19662108918464,3.13110241323745,4.20403394981897,3.06551867594719,0,0
"baseline_twin",120,3.48523905680713,3.92484558879334,3.91222908569462,3.91664486177917,0.0126165030987231,0,0
"high_noise_twin",1,50,49.8799559622819,49.8799559622819,49.8799559622819,0,0,0
"high_noise_twin",2,46.5801217714449,45.0250256965978,47.4108425840718,46.6950975178296,-2.38581688747399,0,0
"high_noise_twin",3,44.5673380127379,41.6742241794002,44.3974532358263,43.5804845188985,-2.72322905642611,0,0
"high_noise_twin",4,42.221590637757,43.4581807652405,41.450539497473,42.0528318778032,2.00764126776752,0,0
"high_noise_twin",5,40.134975820123,37.9392005843956,40.0108974684472,39.3893884032317,-2.07169688405164,0,0
"high_noise_twin",6,37.0564587871579,42.8284899994788,36.4918328138608,38.0928299695462,5.336657185618,1,1
"high_noise_twin",7,34.7061334827542,33.5761550578033,36.2708098354519,35.4624134021573,-2.6946547776486,0,0
"high_noise_twin",8,33.7277447748822,35.5399827946225,33.7820482025099,34.3094285801437,1.75793459211253,0,0
"high_noise_twin",9,33.3821885884219,38.0838775220687,31.69620296514,33.3125053322186,5.38767455692871,1,1
"high_noise_twin",10,30.8332055911677,31.4816423043695,31.7579065935871,31.6750273068218,-0.276264289217544,0,0
"high_noise_twin",11,28.9779940814395,28.469058951973,30.2103126119681,29.6879365139696,-1.74125365999502,0,0
"high_noise_twin",12,28.0958640680455,26.9332937179621,28.3297603359923,27.9108203505832,-1.3964666180302,0,0
"high_noise_twin",13,26.8175430462121,28.6824898958917,26.6478079328683,27.2582125217753,2.03468196302342,0,0
"high_noise_twin",14,25.4386096387378,20.9765860039728,26.0332186425746,24.5162288509941,-5.05663263860182,1,0
"high_noise_twin",15,24.257977822293,22.056072710875,23.4327651013477,23.0197573842059,-1.37669239047274,0,0
"high_noise_twin",16,22.7249564476626,28.3065000984411,21.0145602002001,22.9021421696724,6.291939898241,1,1
"high_noise_twin",17,22.0108637608782,21.6326996960152,21.905256889145,21.823489731206,-0.272557193129785,0,0
"high_noise_twin",18,22.065191944105,18.3565139539764,20.8819394926363,20.1243118310384,-2.52542553865988,0,0
"high_noise_twin",19,21.0875549586341,24.572065773124,18.2680844514009,19.8592788479178,5.30398132172314,1,1
