run_id,growth_rate,balancing_strength,target,delay,capacity,threshold,threshold_correction,shock_size,minimum_stock,maximum_stock,final_stock,time_to_peak,maximum_inflow,maximum_outflow,threshold_active_periods
195,0.077556,0.058992,46.542190,10,84.780771,94.146519,0.043952,-15.487788,15.000000,68.958262,65.833819,45,1.643789,1.322359,0
196,0.101797,0.062080,56.431748,6,89.655998,94.673712,0.026940,-15.853934,15.000000,76.476954,75.725684,39,2.281648,1.244408,0
197,0.095824,0.056011,54.875152,7,65.072193,85.375561,0.081115,-14.939151,15.000000,61.568007,61.163496,47,1.558651,0.374872,0
198,0.077096,0.066442,62.080427,12,93.133667,66.633423,0.100734,-10.363454,15.000000,75.071885,72.316175,46,1.794851,0.863176,121
199,0.112162,0.052325,59.194374,3,68.074116,82.295195,0.057573,-9.155030,15.000000,65.164603,65.164603,160,1.907585,0.312389,0
200,0.094360,0.038094,63.047341,3,82.487375,86.494415,0.056711,-6.350449,15.000000,76.596519,76.596519,160,1.945712,0.516132,0
201,0.079922,0.038461,60.239585,3,85.165004,67.897936,0.033309,-8.185042,15.000000,74.326921,74.326921,160,1.701156,0.541814,121
202,0.096295,0.032174,48.577393,11,69.245115,76.810568,0.047387,-13.287084,15.000000,64.499850,63.733511,47,1.666201,0.512293,0
203,0.085287,0.074075,69.009559,14,98.316730,76.937399,0.032319,-5.270536,15.000000,87.582389,82.319099,49,2.095572,1.375783,125
204,0.064363,0.020877,69.737816,11,93.002862,90.610023,0.060558,-6.379877,15.000000,87.031507,87.016032,90,1.496484,0.361032,0
205,0.101919,0.046902,45.689994,11,68.522160,91.749360,0.101841,-8.091463,15.000000,62.668818,60.724677,40,1.745449,0.796349,0
206,0.114510,0.060266,63.647054,9,66.465880,76.837208,0.022920,-9.285244,15.000000,65.784160,65.488968,119,1.902729,0.128795,0
207,0.091706,0.080092,47.996310,13,70.079532,75.602330,0.071839,-13.107547,15.000000,63.668964,59.053015,42,1.606185,1.255260,0
